Kaufman, Gerald (Labour)
Kawczynski, Daniel (Conservative)
Keeley, Barbara (Labour)
Kelly, Chris (Conservative)
Kendall, Liz (Labour)
Kennedy, Charles (Liberal Democrat)
Khan, Sadiq (Labour)
Kirby, Simon (Conservative)
Knight, Greg (Conservative)
Kwarteng, Kwasi (Conservative)
Laing, Eleanor (Conservative)
Lamb, Norman (Liberal Democrat)
Lammy, David (Labour)
Lancaster, Mark (Conservative)
Lansley, Andrew (Conservative)
Latham, Pauline (Conservative)
Lavery, Ian (Labour)
Laws, David (Liberal Democrat)
Lazarowicz, Mark (Labour (Co-op))
Leadsom, Andrea (Conservative)
Lee, Jessica (Conservative)
Lee, Phillip (Conservative)
Leech, John (Liberal Democrat)
Lefroy, Jeremy (Conservative)
Leigh, Edward (Conservative)
Leslie, Charlotte (Conservative)
Leslie, Chris (Labour (Co-op))
Letwin, Oliver (Conservative)
Lewell-Buck, Emma (Labour)
Lewis, Brandon (Conservative)
Lewis, Ivan (Labour)
Lewis, Julian (Conservative)
Liddell-Grainger, Ian (Conservative)
Lidington, David (Conservative)
Lilley, Peter (Conservative)
Lloyd, Stephen (Liberal Democrat)
Llwyd, Elfyn (Plaid Cymru)
Long, Naomi (Alliance)
Lopresti, Jack (Conservative)
Lord, Jonathan (Conservative)
Loughton, Tim (Conservative)
Love, Andrew (Labour (Co-op))
Lucas, Caroline (Green)
Lucas, Ian (Labour)
Luff, Peter (Conservative)
Lumley, Karen (Conservative)
McCabe, Steve (Labour)
McCann, Michael (Labour)
McCarthy, Kerry (Labour)
McCartney, Jason (Conservative)
McCartney, Karl (Conservative)
McClymont, Gregg (Labour)
McCrea, William (Democratic Unionist)
McDonagh, Siobhain (Labour)
McDonald, Andy (Labour)
McDonnell, Alasdair (Social Democratic & Labour Party)
McDonnell, John (Labour)
McFadden, Pat (Labour)
McGovern, Alison (Labour)
McGovern, Jim (Labour)
McGuire, Anne (Labour)
McIntosh, Anne (Conservative)
McKechin, Ann (Labour)
McKenzie, Iain (Labour)
McKinnell, Catherine (Labour)
Macleod, Mary (Conservative)
McLoughlin, Patrick (Conservative)
MacNeil, Angus Brendan (Scottish National)
McPartland, Stephen (Conservative)
Mactaggart, Fiona (Labour)
McVey, Esther (Conservative)
Mahmood, Khalid (Labour)
Mahmood, Shabana (Labour)
Main, Anne (Conservative)
Malhotra, Seema (Labour (Co-op))
Mann, John (Labour)
Marsden, Gordon (Labour)
Maskey, Paul (Sinn Fein)
Maude, Francis (Conservative)
May, Theresa (Conservative)
Maynard, Paul (Conservative)
Meacher, Michael (Labour)
Meale, Alan (Labour)
Mearns, Ian (Labour)
Menzies, Mark (Conservative)
Mercer, Patrick (Independent)
Metcalfe, Stephen (Conservative)
Miliband, Edward (Labour)
Miller, Andrew (Labour)
Miller, Maria (Conservative)
Mills, Nigel (Conservative)
Milton, Anne (Conservative)
Mitchell, Andrew (Conservative)
Mitchell, Austin (Labour)
Molloy, Francie (Sinn Fein)
Moon, Madeleine (Labour)
Moore, Michael (Liberal Democrat)
Mordaunt, Penny (Conservative)
Morden, Jessica (Labour)
Morgan, Nicky (Conservative)
Morrice, Graeme (Labour)
Morris, Anne Marie (Conservative)
Morris, David (Conservative)
Morris, Grahame M. (Labour)
Morris, James (Conservative)
Mosley, Stephen (Conservative)
Mowat, David (Conservative)
Mudie, George (Labour)
Mulholland, Greg (Liberal Democrat)
Mundell, David (Conservative)
Munn, Meg (Labour (Co-op))
Munt, Tessa (Liberal Democrat)
Murphy, Conor (Sinn Fein)
Murphy, Jim (Labour)
Murphy, Paul (Labour)
Murray, Ian (Labour)
Murray, Sheryll (Conservative)
Murrison, Andrew (Conservative)
Nandy, Lisa (Labour)
Nash, Pamela (Labour)
Neill, Robert (Conservative)
Newmark, Brooks (Conservative)
Newton, Sarah (Conservative)
Nokes, Caroline (Conservative)
Norman, Jesse (Conservative)
Nuttall, David (Conservative)
O'Brien, Stephen (Conservative)
O'Donnell, Fiona (Labour)
Offord, Matthew (Conservative)
Ollerenshaw, Eric (Conservative)
Onwurah, Chi (Labour)
Opperman, Guy (Conservative)
Osborne, George (Conservative)
Osborne, Sandra (Labour)
Ottaway, Richard (Conservative)
Owen, Albert (Labour)
Paice, James (Conservative)
Paisley, Ian (Democratic Unionist)
Parish, Neil (Conservative)
Patel, Priti (Conservative)
Paterson, Owen (Conservative)
Pawsey, Mark (Conservative)
Pearce, Teresa (Labour)
Penning, Mike (Conservative)
Penrose, John (Conservative)
Percy, Andrew (Conservative)
Perkins, Toby (Labour)
Perry, Claire (Conservative)
Phillips, Stephen (Conservative)
Phillipson, Bridget (Labour)
Pickles, Eric (Conservative)
Pincher, Christopher (Conservative)
Poulter, Daniel (Conservative)
Pound, Stephen (Labour)
Powell, Lucy (Labour)
Primarolo, Dawn (Labour)
Prisk, Mark (Conservative)
Pritchard, Mark (Conservative)
Pugh, John (Liberal Democrat)
Qureshi, Yasmin (Labour)
Raab, Dominic (Conservative)
Randall, John (Conservative)
Raynsford, Nick (Labour)
Reckless, Mark (Conservative)
Redwood, John (Conservative)
Reed, Jamie (Labour)
Reed, Steve (Labour)
Rees-Mogg, Jacob (Conservative)
Reevell, Simon (Conservative)
Reeves, Rachel (Labour)
Reid, Alan (Liberal Democrat)
Reynolds, Emma (Labour)
Reynolds, Jonathan (Labour (Co-op))
Rifkind, Malcolm (Conservative)
Riordan, Linda (Labour (Co-op))
Ritchie, Margaret (Social Democratic & Labour Party)
Robathan, Andrew (Conservative)
Robertson, Angus (Scottish National)
Robertson, Hugh (Conservative)
Robertson, John (Labour)
Robertson, Laurence (Conservative)
Robinson, Geoffrey (Labour)
Rogerson, Dan (Liberal Democrat)
Rosindell, Andrew (Conservative)
Rotheram, Steve (Labour)
Roy, Frank (Labour)
Roy, Lindsay (Labour)
Ruane, Chris (Labour)
Rudd, Amber (Conservative)
Ruddock, Dame Joan (Labour)
Ruffley, David (Conservative)
Russell, Bob (Liberal Democrat)
Rutley, David (Conservative)
Sanders, Adrian (Liberal Democrat)
Sandys, Laura (Conservative)
Sarwar, Anas (Labour)
Sawford, Andy (Labour (Co-op))
Scott, Lee (Conservative)
Seabeck, Alison (Labour)
Selous, Andrew (Conservative)
Shannon, Jim (Democratic Unionist)
Shapps, Grant (Conservative)
Sharma, Alok (Conservative)
Sharma, Virendra (Labour)
Sheerman, Barry (Labour (Co-op))
Shelbrooke, Alec (Conservative)
Shepherd, Richard (Conservative)
Sheridan, Jim (Labour)
Shuker, Gavin (Labour (Co-op))
Simmonds, Mark (Conservative)
Simpson, David (Democratic Unionist)
Simpson, Keith (Conservative)
Skidmore, Chris (Conservative)
Skinner, Dennis (Labour)
Slaughter, Andy (Labour)
Smith, Andrew (Labour)
Smith, Angela (Labour)
Smith, Chloe (Conservative)
Smith, Henry (Conservative)
Smith, Julian (Conservative)
Smith, Nick (Labour)
Smith, Owen (Labour)
Smith, Robert (Liberal Democrat)
Soames, Nicholas (Conservative)
Soubry, Anna (Conservative)
Spellar, John (Labour)
Spelman, Caroline (Conservative)
Spencer, Mark (Conservative)
Stanley, John (Conservative)
Stephenson, Andrew (Conservative)
Stevenson, John (Conservative)
Stewart, Bob (Conservative)
Stewart, Iain (Conservative)
Stewart, Rory (Conservative)
Straw, Jack (Labour)
Streeter, Gary (Conservative)
Stride, Mel (Conservative)
Stringer, Graham (Labour)
Stuart, Gisela (Labour)
Stuart, Graham (Conservative)
Stunell, Andrew (Liberal Democrat)
Sturdy, Julian (Conservative)
Sutcliffe, Gerry (Labour)
Swales, Ian (Liberal Democrat)
Swayne, Desmond (Conservative)
Swinson, Jo (Liberal Democrat)
Swire, Hugo (Conservative)
Syms, Robert (Conservative)
Tami, Mark (Labour)
Tapsell, Peter (Conservative)
Teather, Sarah (Liberal Democrat)
Thomas, Gareth (Labour (Co-op))
Thornberry, Emily (Labour)
Thornton, Mike (Liberal Democrat)
Thurso, John (Liberal Democrat)
Timms, Stephen (Labour)
Timpson, Edward (Conservative)
Tomlinson, Justin (Conservative)
Tredinnick, David (Conservative)
Trickett, Jon (Labour)
Truss, Elizabeth (Conservative)
Turner, Andrew (Conservative)
Turner, Karl (Labour)
Twigg, Derek (Labour)
Twigg, Stephen (Labour (Co-op))
Tyrie, Andrew (Conservative)
Umunna, Chuka (Labour)
Uppal, Paul (Conservative)
Vaizey, Edward (Conservative)
Vara, Shailesh (Conservative)
Vaz, Keith (Labour)
Vaz, Valerie (Labour)
Vickers, Martin (Conservative)
Villiers, Theresa (Conservative)
Walker, Charles (Conservative)
Walker, Robin (Conservative)
Wallace, Ben (Conservative)
